id,source_id,title,datetime,top_article,reactions,comments,shares,comment_plugin
1473,business-insider,WeWork could cut its valuation in half to about $20 billion — and it might delay its IPO (WE),2019-09-05 14:10:13+00:00,False,29.0,3.0,1604.0,0.0
1475,business-insider,These 2 startup founders quit their Goldman Sachs trading jobs to start a dog food company. They say the bank giant taught them these 5 lessons.,2019-09-05 00:00:00+00:00,True,38.0,14.0,12.0,0.0
1476,bbc-news,Paul McCartney 'starting to think' about Glastonbury 2020,2019-09-05 13:19:54+00:00,False,61.0,3.0,20.0,0.0
1477,cnn,"Nazis, secret police, and other dark secrets of Odessa's vast catacomb labyrinth",2019-09-05 09:38:43+00:00,False,20.0,1.0,53.0,0.0
1478,reuters,Reuters video shows moment Dorian strikes Abaco,2019-09-05 14:03:44+00:00,False,0.0,0.0,0.0,0.0
1479,the-new-york-times,"Mississippi Mental Health System Violates Federal Law, Judge Says",2019-09-05 12:50:02+00:00,False,272.0,35.0,96.0,0.0
1480,al-jazeera-english,Hurricane Dorian set to make landfall again,2019-09-05 11:17:38+00:00,False,13.0,3.0,15.0,0.0
1481,abc-news,Arkansas death row inmate asks court for new DNA testing,2019-09-05 17:05:56+00:00,False,0.0,0.0,0.0,0.0
1482,the-irish-times,Mobile phone sales plunge across UK and Ireland at Dixons Carphone,2019-09-05 15:00:27+00:00,False,0.0,0.0,0.0,0.0
1483,the-new-york-times,"South Texas Resort Includes a Pool, a Golf Course and, Maybe, a Border Wall",2019-09-05 10:06:23+00:00,True,1950.0,875.0,552.0,0.0
1485,abc-news,New push for racial equality in the marijuana trade,2019-09-05 14:05:26+00:00,False,0.0,0.0,1.0,0.0
1486,the-irish-times,"For good or ill, September 2015 was the making of Angela Merkel",2019-09-05 09:22:50+00:00,False,0.0,0.0,0.0,0.0
1487,the-irish-times,Are there any real links between wireless technology and health?,2019-09-05 16:01:00+00:00,False,0.0,0.0,0.0,0.0
1488,reuters,"House panel to discuss Big Tech's impact on privacy, antitrust",2019-09-05 14:58:30+00:00,False,0.0,0.0,0.0,0.0
1489,cbs-news,Eye Opener: Hurricane Dorian marches up the coast,2019-09-05 11:15:06+00:00,False,0.0,0.0,1.0,0.0
1490,bbc-news,Roy Keane on his feud with Republic trio & 'Ratsapp',2019-09-05 12:40:32+00:00,False,225.0,151.0,27.0,0.0
1491,bbc-news,"Brexit: 200,000 people register to vote in 72 hours",2019-09-05 14:09:26+00:00,False,854.0,201.0,264.0,0.0
1492,bbc-news,2019/09/05 15:00 GMT,2019-09-05 15:06:00+00:00,False,0.0,0.0,0.0,0.0
1493,cnn,Vets fear anti-vax pet owners are putting their animals' health at risk,2019-09-05 11:42:06+00:00,False,171.0,31.0,169.0,0.0
1494,reuters,Swiss National Bank concerned about digital currencies impact on monetary policy,2019-09-05 16:12:18+00:00,False,0.0,0.0,0.0,0.0
1495,newsweek,Scientists' Understanding of Anxiety is Radically Evolving—But How Long Will it Take for Treatments to Catch Up?,2019-09-05 09:00:01+00:00,False,68.0,4.0,48.0,0.0
1496,cbs-news,Andrew Yang on his ground game in New Hampshire and Iowa,2019-09-05 12:34:29+00:00,False,0.0,0.0,2.0,0.0
1497,cnn,A Minnesota woman was killed in a rare black bear attack on a secluded island in Canada,2019-09-05 16:46:13+00:00,False,1.0,0.0,13.0,0.0
1498,the-irish-times,Taste of Dublin launches an indoor winter food festival at the RDS,2019-09-05 11:57:00+00:00,False,7.0,3.0,4.0,0.0
1499,cbs-news,Trump under scrutiny for showing altered map of Hurricane Dorian's path,2019-09-05 00:32:35+00:00,False,0.0,0.0,0.0,0.0
1500,al-jazeera-english,Afghanistan: Explosion rocks diplomatic area of Kabul,2019-09-05 06:27:05+00:00,False,1839.0,764.0,348.0,0.0
1501,espn,"Team USA wins by 53, next faces Giannis, Greece",2019-09-05 14:22:00+00:00,True,0.0,0.0,0.0,0.0
1502,the-irish-times,Trump shows ‘altered’ hurricane map after warning of threat to Alabama,2019-09-05 08:51:10+00:00,False,1.0,2.0,2.0,0.0
1503,reuters,"Macy's sees savings of up to $550 million from targeted promotions, better pricing",2019-09-05 15:56:53+00:00,False,0.0,0.0,0.0,0.0
1504,bbc-news,Syria war: Turkey warns Europe of new migrant wave,2019-09-05 16:11:48+00:00,False,4.0,2.0,47.0,0.0
1505,abc-news,Delaware bomber who targeted wife's family to be sentenced,2019-09-05 10:43:26+00:00,False,0.0,0.0,0.0,0.0
1506,cnn,Scientists identify the genes linked to left-handedness,2019-09-05 13:30:32+00:00,False,1535.0,919.0,1192.0,0.0
1507,newsweek,Teens Waving MAGA Flags Disrupt High School's First Gay Straight Alliance Meeting,2019-09-05 10:30:01+00:00,False,583.0,174.0,111.0,0.0
1508,reuters,Air Tanzania suspends flights to Johannesburg due to ongoing violence - transport minister,2019-09-05 14:53:51+00:00,False,1.0,0.0,3.0,0.0
1509,newsweek,Detroit Teenager Shot by Man Aiming at Pit Bull That Was Attacking Him,2019-09-05 14:14:38+00:00,False,0.0,0.0,1.0,0.0
1510,bbc-news,Ashes: Joe Root takes catch as Matthew Wade holes out off Jack Leach bowling,2019-09-05 11:52:49+00:00,False,0.0,0.0,17.0,0.0
1511,reuters,"New Italian coalition sworn in, seeks better ties with Europe",2019-09-05 17:04:42+00:00,True,4.0,2.0,856.0,0.0
1512,newsweek,"Hurricane Dorian Back Up to Cat 3, South Carolina Faces 'Life-Threatening' Storm Thursday",2019-09-05 04:29:08+00:00,False,71.0,27.0,61.0,0.0
1513,bbc-news,"Security guard trapped under own van, murder trial hears",2019-09-05 14:34:19+00:00,False,0.0,0.0,1.0,0.0
1514,bbc-news,Former Nigeria coach Samson Siasia appeals Fifa's life ban,2019-09-05 13:01:26+00:00,False,0.0,0.0,5.0,0.0
1515,cbs-news,Charleston mayor on the triple threat his city is facing from Hurricane Dorian,2019-09-05 12:16:33+00:00,False,0.0,0.0,1.0,0.0
1516,business-insider,Fitness brands are taking over their fans' lives,2019-09-05 14:39:00+00:00,False,6.0,0.0,8.0,0.0
1517,cnn,The Sonos One SL trades voice control for a price cut,2019-09-05 13:02:28+00:00,False,0.0,0.0,8.0,0.0
1518,abc-news,MP demands Johnson apologize for ”racist” comments about Muslim women,2019-09-05 12:14:49+00:00,False,190.0,110.0,33.0,0.0
1519,bbc-news,Big girl's blouse: Johnson faces backlash over Corbyn jibe,2019-09-05 12:28:49+00:00,False,441.0,411.0,244.0,0.0
1520,bbc-news,Three given life in 'honour killings' blood feud,2019-09-05 10:39:40+00:00,True,0.0,0.0,0.0,0.0
